Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Ixelles,1050.0,,house,house,575000.0,isUnderOption,4.0,225.0,1.0,,1.0,35.0,118.0,2.0,,10321200.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10321200
Dilbeek,1701.0,1.0,house,house,550000.0,isUnderOption,4.0,252.0,1.0,,,,881.0,3.0,,10486061.0,good,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1701/10486061
Laeken,1020.0,1.0,house,villa,549000.0,,3.0,240.0,1.0,,1.0,75.0,317.0,3.0,,10561715.0,good,https://www.immoweb.be/en/classified/villa/for-sale/laeken/1020/10561715
WOLUWE-SAINT-PIERRE,1150.0,1.0,house,house,545000.0,,2.0,90.0,1.0,45.0,,,100.0,2.0,,10623603.0,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10623603
Koekelberg,1081.0,1.0,house,apartment block,595000.0,isUnderOption,7.0,330.0,1.0,15.0,,,122.0,2.0,,10230604.0,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/koekelberg/1081/10230604
Laeken,1020.0,1.0,house,house,595000.0,isUnderOption,4.0,240.0,1.0,20.0,1.0,180.0,350.0,2.0,,10607239.0,good,https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/10607239
Auderghem,1160.0,1.0,house,house,585000.0,,4.0,155.0,1.0,6.0,1.0,40.0,135.0,3.0,,10438259.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10438259
Vilvoorde,1800.0,,house,apartment block,499000.0,isUnderOption,6.0,180.0,,,,,80.0,2.0,,10515770.0,just renovated,https://www.immoweb.be/en/classified/apartment-block/for-sale/vilvoorde/1800/10515770
Waterloo,1410.0,1.0,house,house,595000.0,,3.0,150.0,1.0,30.0,,,734.0,4.0,,10631772.0,to restore,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10631772
Brugge,8000.0,1.0,house,mixed use building,595000.0,,6.0,399.0,1.0,10.0,,,190.0,2.0,,10376565.0,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brugge/8000/10376565
Auderghem,1160.0,1.0,house,house,640000.0,isUnderOption,3.0,179.0,1.0,30.0,1.0,50.0,130.0,3.0,,10636471.0,good,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10636471
Woluwe-Saint-Lambert,1200.0,1.0,house,mixed use building,640000.0,,1.0,200.0,1.0,10.0,,,200.0,2.0,,10633217.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-lambert/1200/10633217
Schaerbeek,1030.0,1.0,house,apartment block,600000.0,isUnderOption,9.0,370.0,1.0,8.0,,,370.0,2.0,,10367111.0,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/10367111
Zaventem Sint-Stevens-Woluwe,1932.0,1.0,house,house,645000.0,isUnderOption,4.0,250.0,1.0,50.0,1.0,225.0,477.0,3.0,,10597264.0,as new,https://www.immoweb.be/en/classified/house/for-sale/zaventem%20sint-stevens-woluwe/1932/10597264
Sint-Michiels,8200.0,1.0,house,house,649000.0,,5.0,285.0,1.0,,,,1699.0,2.0,,10576394.0,good,https://www.immoweb.be/en/classified/house/for-sale/sint-michiels/8200/10576394
Woluwe-Saint-Lambert,1200.0,1.0,house,house,640000.0,,1.0,200.0,1.0,10.0,,,200.0,2.0,,10633216.0,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10633216
Alsemberg,1652.0,1.0,house,house,650000.0,isUnderOption,5.0,210.0,1.0,,,,1102.0,4.0,,10594140.0,good,https://www.immoweb.be/en/classified/house/for-sale/alsemberg/1652/10594140
Sint-Agatha-Berchem,1082.0,1.0,house,house,645000.0,,4.0,268.0,1.0,,1.0,245.0,245.0,3.0,,10557452.0,as new,https://www.immoweb.be/en/classified/house/for-sale/sint-agatha-berchem/1082/10557452
Etterbeek,1040.0,1.0,house,house,645000.0,isUnderOption,4.0,185.0,1.0,53.0,1.0,60.0,145.0,2.0,,10619211.0,good,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10619211
Bruxelles,1000.0,1.0,apartment,apartment,340000.0,,2.0,78.0,1.0,,,,,2.0,,10665339.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10665339
Uccle,1180.0,0.0,apartment,apartment,299000.0,,3.0,86.0,1.0,13.0,,,,2.0,,10665335.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10665335
Amay,4540.0,1.0,house,house,645000.0,,8.0,366.0,1.0,50.0,1.0,600.0,930.0,4.0,,10585217.0,as new,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10585217
Uccle,1180.0,1.0,apartment,apartment,370000.0,,1.0,84.0,1.0,18.0,,,,,,10664360.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10664360
Woluwe-Saint-Lambert,1200.0,1.0,apartment,ground floor,595000.0,,4.0,181.0,1.0,29.0,,,,2.0,,10664142.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-lambert/1200/10664142
Kapelle-op-den-Bos,1880.0,1.0,apartment,apartment,355000.0,,2.0,84.0,1.0,6.0,,,,2.0,,10665652.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/kapelle-op-den-bos/1880/10665652
Sint-Pieters-Leeuw,1600.0,1.0,apartment,apartment,439500.0,,3.0,148.0,1.0,19.0,,,,,,10652113.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/10652113
Laeken,1020.0,1.0,apartment,duplex,359000.0,,3.0,135.0,1.0,10.0,,,,2.0,,10665329.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/laeken/1020/10665329
Bruxelles,1000.0,1.0,apartment,flat studio,190000.0,isUnderOption,0.0,34.0,1.0,3.0,,,,2.0,,10648756.0,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/10648756
Gent,9000.0,1.0,apartment,apartment,249000.0,,2.0,85.0,1.0,2.0,,,,2.0,,10650206.0,to restore,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10650206
Drogenbos,1620.0,1.0,apartment,apartment,280000.0,,2.0,83.0,1.0,19.0,,,,2.0,,10650348.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/drogenbos/1620/10650348
Wilrijk,2610.0,1.0,apartment,apartment,55000.0,isLifeAnnuitySale,2.0,85.0,1.0,,,,,3.0,,10654615.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/10654615
Boom,2850.0,1.0,apartment,apartment,269000.0,,3.0,122.0,1.0,,,,,,,10650260.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/10650260
Ixelles,1050.0,1.0,apartment,apartment,450000.0,,3.0,100.0,1.0,100.0,,,,,,10648563.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10648563
Bruxelles,1000.0,1.0,apartment,penthouse,390000.0,,2.0,94.0,1.0,8.0,,,,4.0,,10649085.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10649085
Forest,1190.0,1.0,apartment,apartment,335000.0,isUnderOption,2.0,110.0,1.0,,,,,2.0,,10648752.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10648752
Leuven,3010.0,1.0,apartment,apartment,435000.0,,2.0,131.0,1.0,10.0,,,,2.0,,10655035.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3010/10655035
Bruxelles,1000.0,1.0,apartment,penthouse,1400000.0,,2.0,220.0,1.0,36.0,,,,4.0,,10649103.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10649103
De Haan,8420.0,1.0,apartment,apartment,225000.0,,2.0,81.0,1.0,,,,,,,10671186.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/10671186
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,295000.0,,1.0,65.0,1.0,4.0,,,,,,10648662.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10648662
Uccle,1180.0,,apartment,apartment,675000.0,,2.0,145.0,1.0,37.0,,,,2.0,,10659678.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10659678
Bruxelles,1000.0,1.0,apartment,apartment,746000.0,,3.0,161.0,1.0,14.0,,,,4.0,,10649098.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10649098
Bruxelles,1000.0,1.0,apartment,apartment,645000.0,,3.0,180.0,1.0,,,,,2.0,,10655774.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10655774
Nieuwpoort,8620.0,1.0,apartment,apartment,239000.0,,1.0,50.0,1.0,12.0,,,,2.0,,10436108.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10436108
Brussels City,1000.0,1.0,apartment,penthouse,479000.0,,3.0,126.0,1.0,27.0,,,,2.0,,10654638.0,good,https://www.immoweb.be/en/classified/penthouse/for-sale/brussels%20city/1000/10654638
Forest,1190.0,1.0,apartment,apartment,295000.0,,2.0,92.0,1.0,6.0,,,,2.0,,10672823.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10672823
Soignies,7060.0,1.0,house,villa,690000.0,,6.0,315.0,1.0,,,,1588.0,4.0,1.0,10631618.0,good,https://www.immoweb.be/en/classified/villa/for-sale/soignies/7060/10631618
Molenbeek-Saint-Jean,1080.0,1.0,apartment,flat studio,137500.0,,0.0,41.0,1.0,5.0,,,,1.0,,10662610.0,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/molenbeek-saint-jean/1080/10662610
Braine-l'Alleud,1420.0,1.0,apartment,apartment,399000.0,,2.0,109.0,1.0,11.0,,,,3.0,,10663930.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/braine-l%27alleud/1420/10663930
Dilbeek,1700.0,1.0,house,apartment block,670000.0,,4.0,507.0,,,,,425.0,2.0,,10541282.0,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/dilbeek/1700/10541282
Gilly,6060.0,1.0,apartment,apartment,119000.0,,2.0,70.0,,,,,,,,10662326.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gilly/6060/10662326
Braine-l'Alleud,1420.0,1.0,apartment,penthouse,720000.0,,3.0,164.0,1.0,95.0,,,,3.0,,10663929.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/braine-l%27alleud/1420/10663929
Deinze,9800.0,1.0,apartment,apartment,250000.0,,1.0,62.0,1.0,10.0,,,,,,10665841.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10665841
GRANDMETZ,7900.0,1.0,house,villa,690000.0,,4.0,360.0,1.0,,,,6159.0,4.0,,10567909.0,good,https://www.immoweb.be/en/classified/villa/for-sale/grandmetz/7900/10567909
Enghien,7850.0,1.0,house,villa,690000.0,,6.0,315.0,1.0,,,,1588.0,4.0,1.0,10631669.0,good,https://www.immoweb.be/en/classified/villa/for-sale/enghien/7850/10631669
Saint-Gilles,1060.0,1.0,house,mixed use building,695000.0,isUnderOption,5.0,256.0,,,1.0,8.0,256.0,2.0,,9617516.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/saint-gilles/1060/9617516
Saint-Gilles,1060.0,1.0,house,house,695000.0,isUnderOption,5.0,256.0,,,1.0,8.0,256.0,2.0,,9618806.0,good,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/9618806
Antwerp,2100.0,1.0,house,house,695000.0,isUnderOption,3.0,228.0,,,1.0,60.0,160.0,2.0,,10624305.0,good,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2100/10624305
Schilde,2970.0,1.0,house,house,698000.0,,2.0,235.0,,,,,930.0,4.0,,10556374.0,as new,https://www.immoweb.be/en/classified/house/for-sale/schilde/2970/10556374
Chênée,4032.0,,house,apartment block,695000.0,,4.0,262.0,1.0,,,,760.0,2.0,,10587549.0,to be done up,https://www.immoweb.be/en/classified/apartment-block/for-sale/ch%C3%AAn%C3%A9e/4032/10587549
Etterbeek,1040.0,1.0,house,house,750000.0,isUnderOption,4.0,215.0,1.0,30.0,1.0,130.0,210.0,2.0,,10491328.0,good,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10491328
Uccle,1180.0,1.0,house,mixed use building,750000.0,,4.0,286.0,1.0,20.0,1.0,55.0,185.0,2.0,,10610712.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/uccle/1180/10610712
Grimbergen,1850.0,1.0,house,house,749500.0,isUnderOption,5.0,419.0,1.0,,,,646.0,4.0,,10086163.0,as new,https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/10086163
Woluwe-Saint-Pierre,1150.0,1.0,house,house,725000.0,isUnderOption,5.0,182.0,1.0,10.0,,,397.0,3.0,,10603104.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10603104
Meise,1860.0,1.0,house,villa,699000.0,,3.0,205.0,1.0,20.0,1.0,500.0,693.0,4.0,1.0,10564098.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/meise/1860/10564098
Woluwe-Saint-Lambert,1200.0,0.0,house,house,795000.0,isUnderOption,6.0,400.0,1.0,,1.0,105.0,360.0,2.0,,10218031.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10218031
Thuin,6530.0,1.0,house,villa,795000.0,,6.0,460.0,1.0,,,,12530.0,4.0,,10624013.0,good,https://www.immoweb.be/en/classified/villa/for-sale/thuin/6530/10624013
Buvrinnes,7133.0,1.0,house,villa,795000.0,,6.0,460.0,1.0,,,,12530.0,4.0,,10624026.0,good,https://www.immoweb.be/en/classified/villa/for-sale/buvrinnes/7133/10624026
Zaventem,1933.0,,house,house,720000.0,isUnderOption,4.0,307.0,1.0,30.0,1.0,120.0,380.0,3.0,,10625843.0,good,https://www.immoweb.be/en/classified/house/for-sale/zaventem/1933/10625843
Wezembeek-Oppem,1970.0,1.0,house,house,825000.0,,5.0,225.0,1.0,,,,530.0,4.0,,10619247.0,good,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10619247
Binche,7130.0,1.0,house,villa,795000.0,,6.0,460.0,1.0,,,,12530.0,4.0,,10624004.0,good,https://www.immoweb.be/en/classified/villa/for-sale/binche/7130/10624004
Hoeilaart,1560.0,1.0,house,villa,795000.0,,4.0,315.0,1.0,,1.0,500.0,902.0,4.0,,10627171.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/hoeilaart/1560/10627171
Woluwe-Saint-Lambert,1200.0,,house,mixed use building,850000.0,,6.0,950.0,,,,,485.0,2.0,,10593488.0,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-lambert/1200/10593488
Bruxelles,1000.0,1.0,house,apartment block,849000.0,,5.0,230.0,1.0,20.0,,,230.0,2.0,,10488148.0,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10488148
Kraainem,1950.0,1.0,house,house,850000.0,isUnderOption,3.0,200.0,1.0,,1.0,340.0,650.0,3.0,,10641132.0,good,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10641132
Spa,4900.0,1.0,house,villa,845000.0,,3.0,346.0,1.0,,,,3375.0,4.0,,10323880.0,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/spa/4900/10323880
Brugge Sint-Michiels,8200.0,1.0,house,mixed use building,795000.0,,3.0,350.0,1.0,12.0,1.0,180.0,619.0,4.0,,10610559.0,as new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brugge%20sint-michiels/8200/10610559
Evere,1140.0,1.0,house,house,850000.0,,5.0,305.0,1.0,,,,500.0,2.0,,10446197.0,good,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/10446197
Seraing Boncelles,4100.0,1.0,house,villa,890000.0,isUnderOption,4.0,315.0,1.0,100.0,1.0,6541.0,6541.0,4.0,1.0,10622376.0,good,https://www.immoweb.be/en/classified/villa/for-sale/seraing%20boncelles/4100/10622376
Evere,1140.0,1.0,house,house,850000.0,,5.0,305.0,1.0,,,,500.0,2.0,,9258406.0,good,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/9258406
Woluwe-Saint-Pierre,1150.0,1.0,house,villa,895000.0,isUnderOption,4.0,210.0,1.0,20.0,1.0,400.0,751.0,4.0,,10633229.0,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/10633229
Deinze,9800.0,1.0,apartment,apartment,183380.0,,2.0,80.0,1.0,,,,,2.0,,10662229.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10662229
SINT-GENESIUS-RODE,1640.0,1.0,apartment,apartment,279000.0,,2.0,72.0,1.0,29.0,,,,2.0,,10661870.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/sint-genesius-rode/1640/10661870
Beveren,9120.0,1.0,apartment,duplex,350000.0,,3.0,170.0,1.0,18.0,,,,2.0,,10661217.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/beveren/9120/10661217
Uccle,1180.0,1.0,apartment,apartment,325000.0,,3.0,118.0,1.0,17.0,,,,2.0,,10660427.0,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10660427
Ixelles,1050.0,1.0,apartment,apartment,390000.0,,1.0,85.0,1.0,16.0,,,,3.0,,10659947.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10659947
Etterbeek,1040.0,1.0,apartment,penthouse,420000.0,,2.0,87.0,1.0,3.0,,,,,,10645714.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/10645714
Molenbeek-Saint-Jean,1080.0,1.0,apartment,apartment,239000.0,,2.0,130.0,1.0,24.0,,,,4.0,,10646541.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10646541
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,275000.0,,2.0,76.0,1.0,15.0,,,,,,10645587.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10645587
Ixelles,1050.0,1.0,apartment,duplex,850000.0,,4.0,208.0,1.0,115.0,1.0,115.0,,2.0,,10661861.0,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10661861
Bruxelles,1000.0,1.0,apartment,apartment,349000.0,,2.0,97.0,1.0,5.0,,,,3.0,,10646163.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10646163
Bruxelles,1000.0,1.0,apartment,penthouse,309000.0,,1.0,80.0,,,,,,3.0,,10646165.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10646165
Gent,9000.0,1.0,apartment,apartment,355000.0,,2.0,120.0,,,,,,2.0,,10647497.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10647497
Bruxelles,1000.0,1.0,apartment,apartment,350000.0,,2.0,104.0,1.0,9.0,,,,3.0,,10646164.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10646164
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,335000.0,isUnderOption,2.0,95.0,1.0,4.0,,,,,,10645649.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10645649
Ixelles,1050.0,1.0,apartment,apartment,1400000.0,,3.0,284.0,,,,,,3.0,,10648016.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10648016
Leuven,3000.0,1.0,apartment,apartment,365000.0,,2.0,90.0,1.0,5.0,,,,2.0,,10645969.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10645969
Evergem Sleidinge,9940.0,1.0,apartment,apartment,255000.0,,1.0,71.0,1.0,10.0,,,,2.0,,10669091.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669091
Evergem Sleidinge,9940.0,1.0,apartment,apartment,295000.0,,1.0,75.0,1.0,17.0,,,,2.0,,10669098.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669098
Evergem Sleidinge,9940.0,1.0,apartment,apartment,300000.0,,1.0,75.0,1.0,17.0,,,,2.0,,10669096.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669096
Evergem Sleidinge,9940.0,1.0,apartment,apartment,265000.0,,1.0,69.0,1.0,8.0,,,,2.0,,10669090.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669090
Forest,1190.0,1.0,apartment,apartment,480000.0,,2.0,105.0,,,,,,2.0,,10645539.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10645539
Evergem Sleidinge,9940.0,1.0,apartment,apartment,300000.0,,1.0,75.0,1.0,17.0,,,,2.0,,10669095.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669095
Lede,9340.0,1.0,apartment,apartment,316405.0,,2.0,90.0,1.0,8.0,,,,3.0,,10670426.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/lede/9340/10670426
Lede,9340.0,1.0,apartment,apartment,322405.0,,2.0,92.0,1.0,8.0,,,,3.0,,10670428.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/lede/9340/10670428
Evergem Sleidinge,9940.0,1.0,apartment,apartment,375000.0,,2.0,113.0,1.0,9.0,,,,2.0,,10669097.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669097
Evergem Sleidinge,9940.0,1.0,apartment,apartment,380000.0,,2.0,107.0,1.0,16.0,,,,2.0,,10669094.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evergem%20sleidinge/9940/10669094
Oudenburg,8460.0,1.0,house,villa,1100000.0,,4.0,363.0,1.0,,1.0,390.0,2218.0,4.0,1.0,10617273.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/oudenburg/8460/10617273
Roosdaal,1760.0,1.0,house,house,940000.0,,4.0,265.0,,,1.0,3000.0,3300.0,4.0,,10453054.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10453054
Woluwe-Saint-Pierre,1150.0,,apartment,apartment,299000.0,,2.0,97.0,1.0,,,,,2.0,,10666977.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10666977
Etterbeek,1040.0,1.0,house,apartment block,925000.0,isUnderOption,4.0,270.0,1.0,32.0,,,130.0,2.0,,10399826.0,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/etterbeek/1040/10399826
HULSTE,8531.0,1.0,house,villa,920000.0,,5.0,450.0,,,,,1336.0,4.0,,10626099.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/hulste/8531/10626099
Plombières,4850.0,1.0,house,castle,1100000.0,,11.0,850.0,1.0,,,,15000.0,4.0,1.0,10180409.0,to renovate,https://www.immoweb.be/en/classified/castle/for-sale/plombi%C3%A8res/4850/10180409
Nivelles,1400.0,,house,mixed use building,950000.0,,7.0,1137.0,1.0,,,,674.0,2.0,,10573814.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/nivelles/1400/10573814
Kraainem,1950.0,1.0,house,villa,1100000.0,isUnderOption,4.0,280.0,1.0,,1.0,1200.0,1546.0,4.0,,10280068.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/kraainem/1950/10280068
Evergem Sleidinge,9940.0,1.0,apartment,penthouse,445000.0,,2.0,122.0,1.0,48.0,,,,2.0,,10669093.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/evergem%20sleidinge/9940/10669093
Woluwe-Saint-Pierre,1150.0,,apartment,apartment,299000.0,,1.0,91.0,1.0,,,,,2.0,,10667393.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10667393
Evergem Sleidinge,9940.0,1.0,apartment,penthouse,395000.0,,1.0,97.0,1.0,74.0,,,,2.0,,10669092.0,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/evergem%20sleidinge/9940/10669092
Diest,3290.0,1.0,house,house,999000.0,,4.0,275.0,1.0,80.0,1.0,1500.0,34610.0,4.0,1.0,10609725.0,as new,https://www.immoweb.be/en/classified/house/for-sale/diest/3290/10609725
Uccle,1180.0,1.0,house,house,1120000.0,,3.0,258.0,1.0,,1.0,82.0,235.0,2.0,,10527083.0,as new,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10527083
Waterloo,1410.0,1.0,house,mixed use building,1425000.0,,5.0,330.0,1.0,,,,1985.0,4.0,,10606483.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/waterloo/1410/10606483
Uccle,1180.0,,house,house,1190000.0,,5.0,369.0,1.0,,,,528.0,3.0,,10562371.0,good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10562371
Woluwe-Saint-Lambert,1200.0,1.0,house,mixed use building,1450000.0,,4.0,283.0,,,,,83.0,2.0,,10161786.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-lambert/1200/10161786
Uccle,1180.0,1.0,house,house,1285000.0,,5.0,270.0,1.0,70.0,,,308.0,2.0,,10479350.0,good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10479350
Waterloo,1410.0,1.0,house,villa,1425000.0,,5.0,330.0,1.0,,,,1985.0,4.0,,10606417.0,good,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10606417
Tervuren,3080.0,1.0,house,villa,1595000.0,,6.0,400.0,1.0,40.0,1.0,2000.0,2326.0,4.0,1.0,10610987.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/tervuren/3080/10610987
Kraainem,1950.0,1.0,house,villa,1595000.0,,6.0,400.0,1.0,40.0,1.0,2000.0,2326.0,4.0,1.0,10610988.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/kraainem/1950/10610988
Zaventem Sterrebeek,1933.0,1.0,house,villa,1595000.0,,6.0,400.0,1.0,40.0,1.0,2000.0,2326.0,4.0,1.0,10611000.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/zaventem%20sterrebeek/1933/10611000
Pepingen,1670.0,1.0,house,house,1695000.0,,5.0,720.0,1.0,,,,3366.0,4.0,,10591794.0,good,https://www.immoweb.be/en/classified/house/for-sale/pepingen/1670/10591794
Wezembeek-Oppem,1970.0,1.0,house,villa,1595000.0,,6.0,400.0,1.0,40.0,1.0,2000.0,2326.0,4.0,1.0,10597054.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/10597054
Enghien,7850.0,1.0,house,villa,1695000.0,,5.0,720.0,1.0,,,,3366.0,4.0,,10591790.0,good,https://www.immoweb.be/en/classified/villa/for-sale/enghien/7850/10591790
Dilbeek,1700.0,1.0,house,villa,1700000.0,,4.0,350.0,1.0,100.0,1.0,1000.0,1000.0,4.0,,10600108.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/10600108
Enghien,7850.0,1.0,house,house,1695000.0,,5.0,720.0,1.0,,,,3366.0,4.0,,10591793.0,good,https://www.immoweb.be/en/classified/house/for-sale/enghien/7850/10591793
Deerlijk,8540.0,1.0,house,apartment block,2195000.0,isUnderOption,14.0,688.0,1.0,,,,400.0,4.0,,10250368.0,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/deerlijk/8540/10250368
