Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Huy,4500,1,house,house,199500,isUnderOption,4,192,,,,,343,2,,10637143,good,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10637143
,Heinsch,6700,1,house,house,210000,isUnderOption,3,,1,,1,310,576,2,,10343362,to renovate,https://www.immoweb.be/en/classified/house/for-sale/heinsch/6700/10343362
,Liège,4000,1,house,house,215000,,3,170,,,,,72,2,,10562302,to be done up,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/10562302
,Ixelles,1050,1,apartment,flat studio,395000,,0,48,1,32,,,,,,10582156,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/10582156
,Sterrebeek,1933,1,apartment,ground floor,1295000,,4,195,1,21,1,205,,2,,8950259,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/sterrebeek/1933/8950259
,Bruxelles,1000,1,apartment,flat studio,395000,,0,48,1,32,,,,,,10560962,as new,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/10560962
,Uccle,1180,1,apartment,apartment,710000,,3,142,1,56,,,,4,,10598247,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10598247
,Uccle,1180,1,apartment,ground floor,635000,,2,108,1,18,1,73,,,,10588450,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/10588450
,Liege,4000,1,apartment,apartment,455000,,3,156,1,25,,,,2,,10503218,as new,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10503218
,Deinze,9800,1,apartment,apartment,350000,,2,97,1,20,,,,,,10663063,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663063
,Gent,9000,1,apartment,ground floor,355000,,3,101,1,13,,,,4,,10660285,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10660285
,Deinze,9800,1,apartment,apartment,199500,,1,66,1,5,,,,,,10663066,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663066
,Ixelles,1050,1,apartment,apartment,1420000,,2,180,1,70,,,,3,,8902829,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/8902829
,Sterrebeek,1933,1,apartment,ground floor,1095000,,3,169,1,22,1,137,,2,,8950258,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/sterrebeek/1933/8950258
,Deinze,9800,1,apartment,apartment,290000,,2,97,1,8,,,,,,10663067,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663067
,Deinze,9800,1,apartment,apartment,295000,,2,97,1,5,,,,,,10663065,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663065
,Deinze,9800,1,apartment,apartment,285000,,2,91,1,5,,,,,,10663062,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663062
,Deinze,9800,1,apartment,apartment,275000,,2,91,1,5,,,,,,10663064,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663064
,Oudenaarde,9700,1,apartment,apartment,339000,,3,129,1,19,1,63,,4,,10660227,as new,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10660227
,Deinze,9800,1,apartment,apartment,288000,,1,73,1,19,,,,4,,10663060,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663060
,Kruisem,9750,1,apartment,apartment,339990,,3,120,1,23,1,189,,,,10648090,as new,https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9750/10648090
,Gent,9000,1,apartment,ground floor,435000,,2,126,1,19,,,,4,,10660288,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10660288
,Deinze,9800,1,apartment,apartment,339990,,3,120,1,23,1,189,,,,10648092,as new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10648092
,Zulte,9870,1,apartment,apartment,339990,,3,120,1,23,1,189,,,,10648091,as new,https://www.immoweb.be/en/classified/apartment/for-sale/zulte/9870/10648091
,Deinze,9800,1,apartment,apartment,405500,,2,93,1,13,,,,4,,10663058,,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10663058
,Forest,1190,1,apartment,flat studio,207000,,0,46,1,3,,,,2,,10664803,,https://www.immoweb.be/en/classified/flat-studio/for-sale/forest/1190/10664803
,Blankenberge,8370,1,apartment,apartment,149000,,2,86,,,,,,,,10644293,as new,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10644293
,Ixelles,1050,1,apartment,apartment,1245000,,3,163,1,28,,,,2,,10666737,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10666737
,SINT-GILLIS-WAAS,9170,1,apartment,apartment,365000,,2,139,1,8,1,20,,3,,10643824,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-gillis-waas/9170/10643824
,Huy,4500,1,house,house,219000,,2,168,1,15,1,285,450,2,,10336025,to renovate,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10336025
,Forest,1190,1,apartment,apartment,288000,,1,78,1,7,,,,2,,10664804,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10664804
,Borgloon,3840,1,house,house,219000,,3,192,,,,,335,3,,10606375,good,https://www.immoweb.be/en/classified/house/for-sale/borgloon/3840/10606375
,EERNEGEM,8480,1,house,house,225000,,5,291,,,,,522,2,,10611699,to renovate,https://www.immoweb.be/en/classified/house/for-sale/eernegem/8480/10611699
,Forest,1190,1,apartment,apartment,313000,,2,87,1,15,,,,2,,10664801,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10664801
,Poperinge,8970,1,apartment,apartment,215000,,2,121,1,8,,,,,,10644201,as new,https://www.immoweb.be/en/classified/apartment/for-sale/poperinge/8970/10644201
,Braine-l'Alleud,1420,1,apartment,penthouse,720000,,3,164,1,96,,,,4,,10665433,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/braine-l%27alleud/1420/10665433
,Herstal,4040,1,house,house,225000,isUnderOption,4,150,1,34,1,138,215,2,,10622581,good,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10622581
,Ronse,9600,0,house,mansion,225000,,4,205,1,,,,224,,,10455246,,https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/10455246
,Lille,2275,,house,house,229000,,3,161,,,,,76,2,,10584033,good,https://www.immoweb.be/en/classified/house/for-sale/lille/2275/10584033
,Huy,4500,1,house,house,225000,,1,105,1,,,,29,2,,10379820,as new,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10379820
,Waregem,8790,1,house,house,225000,,5,251,1,,,,1003,2,,10617444,to renovate,https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/10617444
,GrÃce-Hollogne Horion-Hozémont,4460,1,house,house,229500,isUnderOption,3,125,1,55,1,330,160,2,,10480554,as new,https://www.immoweb.be/en/classified/house/for-sale/gr%C3%83ce-hollogne%20horion-hoz%C3%A9mont/4460/10480554
,Libin,6890,1,house,house,229000,,4,106,1,80,,,139,3,,10573638,good,https://www.immoweb.be/en/classified/house/for-sale/libin/6890/10573638
,Arlon,6700,0,house,house,230000,isUnderOption,4,,1,30,1,500,698,3,,10629968,to renovate,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10629968
,ETHE,6760,1,house,house,235000,,3,150,,,1,300,385,2,,10631112,just renovated,https://www.immoweb.be/en/classified/house/for-sale/ethe/6760/10631112
,Huy,4500,1,house,house,235000,isUnderOption,4,170,1,,,,157,2,,10607071,to be done up,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10607071
,Anzegem,8570,0,house,house,235000,,5,307,,,,,596,2,,10527700,to renovate,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/10527700
,Amay,4540,1,house,house,235000,,3,110,,,,,405,4,,10618113,,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/10618113
,Avelgem,8580,1,house,house,237500,isUnderOption,3,150,1,32,1,440,0,3,,10571081,to be done up,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10571081
,Jupille-sur-meuse,4020,1,house,house,239000,,5,227,1,14,1,194,360,3,,10629887,to be done up,https://www.immoweb.be/en/classified/house/for-sale/jupille-sur-meuse/4020/10629887
,GRÂCE-HOLLOGNE,4460,,house,house,239000,isUnderOption,3,90,1,20,1,216,383,3,,10347604,just renovated,https://www.immoweb.be/en/classified/house/for-sale/gr%C3%82ce-hollogne/4460/10347604
,Wandre,4020,1,house,house,239000,isUnderOption,2,65,1,,,,243,3,,10629891,good,https://www.immoweb.be/en/classified/house/for-sale/wandre/4020/10629891
,Boncelles,4100,1,house,house,245000,isUnderOption,1,60,1,9,1,129,212,3,,10602161,good,https://www.immoweb.be/en/classified/house/for-sale/boncelles/4100/10602161
,Oupeye Haccourt,4684,0,house,house,239000,,3,139,1,30,1,243,353,2,,10608857,to be done up,https://www.immoweb.be/en/classified/house/for-sale/oupeye%20haccourt/4684/10608857
,Ronse,9600,1,house,house,245000,,3,165,1,,,,480,2,,10484512,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10484512
,Ronse,9600,1,house,house,245000,,3,165,1,,,,480,2,,10621610,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10621610
,ORROIR,7750,1,house,villa,249500,,3,150,1,,,,727,4,,10626109,,https://www.immoweb.be/en/classified/villa/for-sale/orroir/7750/10626109
,Knokke-Heist,8300,,apartment,apartment,2095000,,3,96,1,6,,,,2,,10663709,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10663709
,Clavier,4560,1,house,house,249000,isUnderOption,2,115,1,15,,,246,3,,10360844,good,https://www.immoweb.be/en/classified/house/for-sale/clavier/4560/10360844
,Modave,4577,1,house,house,249000,isUnderOption,3,167,1,,,,1762,3,,10575208,good,https://www.immoweb.be/en/classified/house/for-sale/modave/4577/10575208
,Knokke-Heist,8300,1,apartment,penthouse,2350000,,2,121,1,,,,,2,,10663664,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/10663664
,SINT-AMANDSBERG,9040,1,house,house,248000,,3,135,,,,,110,2,,10450718,to renovate,https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/10450718
,FIZE-FONTAINE,4530,1,house,house,249000,isUnderOption,2,155,1,20,1,62,173,2,,10346068,just renovated,https://www.immoweb.be/en/classified/house/for-sale/fize-fontaine/4530/10346068
,Huy,4500,1,house,house,250000,,3,210,1,,,,70,2,,9511661,good,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/9511661
,Gent,9000,1,apartment,apartment,325000,,2,84,1,7,,,,4,,10648874,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10648874
,Oordegem,9340,,house,house,249000,,3,210,,,,,246,2,,10524367,to renovate,https://www.immoweb.be/en/classified/house/for-sale/oordegem/9340/10524367
,KNOKKE-ZOUTE,8300,1,apartment,apartment,2375000,,2,105,1,,,,,2,1,10663665,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/10663665
,Tielt,8700,1,apartment,apartment,359000,,2,106,1,11,,,,2,,10671766,,https://www.immoweb.be/en/classified/apartment/for-sale/tielt/8700/10671766
,Lubbeek,3210,1,apartment,apartment,342570,,2,100,1,30,1,10,,2,,10671840,as new,https://www.immoweb.be/en/classified/apartment/for-sale/lubbeek/3210/10671840
,De Haan,8420,1,apartment,apartment,92000,,1,23,1,,,,,,,10580136,good,https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/10580136
,LAEKEN (BRU.),1020,0,apartment,apartment,195000,,2,84,1,23,,,,4,,10670440,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/laeken%20%28bru.%29/1020/10670440
,Woluwe-Saint-Pierre,1150,1,apartment,apartment,287000,,2,80,1,2,,,,2,,10653880,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10653880
,Gavere,9890,1,apartment,ground floor,286000,,2,95,1,11,,,,4,,10656497,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gavere/9890/10656497
,Etterbeek,1040,,apartment,flat studio,289000,,0,40,1,3,,,,,,10620994,just renovated,https://www.immoweb.be/en/classified/flat-studio/for-sale/etterbeek/1040/10620994
,Gent,9000,,apartment,apartment,480000,,2,111,1,,,,,2,,10655101,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10655101
,Neufchateau-Longlier,6840,0,apartment,apartment,221500,,2,82,1,7,,,,,,10656657,,https://www.immoweb.be/en/classified/apartment/for-sale/neufchateau-longlier/6840/10656657
,Louvain-La-Neuve,1348,1,apartment,apartment,735000,,3,150,1,10,,,,2,,10670838,good,https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/10670838
,Hoboken,2660,1,apartment,ground floor,225000,,1,120,,,,,,2,,10669221,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/hoboken/2660/10669221
,Antwerp,2000,1,apartment,apartment,210000,,1,60,,,,,,2,,10654676,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10654676
,SINT-JANS-MOLENBEEK,1080,1,apartment,apartment,225000,,2,95,1,9,,,,2,,10489947,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/10489947
,Poperinge,8970,1,apartment,apartment,270000,,2,72,1,18,,,,,,10669700,as new,https://www.immoweb.be/en/classified/apartment/for-sale/poperinge/8970/10669700
,Antwerp,2000,1,apartment,duplex,210000,,1,60,,,,,,2,,10654669,good,https://www.immoweb.be/en/classified/duplex/for-sale/antwerp/2000/10654669
,Gent,9000,1,apartment,ground floor,310000,,2,90,1,11,,,,4,,10658488,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10658488
,Gent,9051,1,apartment,ground floor,310000,,2,90,1,11,,,,4,,10658416,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658416
,Gent,9051,1,apartment,ground floor,355000,,3,101,1,13,,,,4,,10658419,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658419
,Gent,9000,1,apartment,ground floor,385000,,3,104,1,26,,,,4,,10658489,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10658489
,Neufchateau - Lahérie,6840,1,house,house,259900,isUnderOption,4,193,1,9,1,92,321,3,,10626879,as new,https://www.immoweb.be/en/classified/house/for-sale/neufchateau%20-%20lah%C3%A9rie/6840/10626879
,Aalst,9300,1,house,house,259000,,3,130,1,,,,200,2,,10629765,good,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10629765
,Waregem,8790,1,house,house,259000,,2,104,,,,,95,3,,10579427,good,https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/10579427
,Gent,9051,1,apartment,ground floor,385000,,3,104,1,26,,,,4,,10658417,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658417
,Hoeilaart,1560,1,house,house,265000,,2,75,1,32,1,16,80,2,,10620367,good,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/10620367
,Lens,7870,1,house,house,260000,,3,175,1,,,,276,2,,10587495,good,https://www.immoweb.be/en/classified/house/for-sale/lens/7870/10587495
,Strée,4577,1,house,house,269000,isUnderOption,3,115,1,28,1,800,1000,,,10606893,good,https://www.immoweb.be/en/classified/house/for-sale/str%C3%A9e/4577/10606893
,Gosselies,6041,1,house,house,264000,,4,171,1,57,1,89,184,3,,10563405,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gosselies/6041/10563405
,Mechelen,2800,1,house,house,265000,isUnderOption,2,147,,,,,817,3,,10627875,to renovate,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10627875
,Liège,4000,1,house,apartment block,265000,isUnderOption,3,,,,,,0,2,,10366081,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/li%C3%A8ge/4000/10366081
,Wavre,1300,1,house,mixed use building,260000,,2,127,1,4,,,45,2,,10402475,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/wavre/1300/10402475
,Bruxelles,1000,1,apartment,apartment,660000,,2,100,,,,,,,,10655137,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10655137
,Ans,4430,1,house,house,265000,isUnderOption,2,143,1,35,1,262,402,2,,10625385,good,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/10625385
,Aalst,9320,1,house,house,269000,,5,200,1,30,1,45,220,3,,10622525,to be done up,https://www.immoweb.be/en/classified/house/for-sale/aalst/9320/10622525
,FLÉMALLE,4400,0,house,house,269500,isUnderOption,2,130,,,,,385,3,,10509636,good,https://www.immoweb.be/en/classified/house/for-sale/fl%C3%89malle/4400/10509636
,Ronse,9600,1,house,house,269000,,3,194,1,15,,,434,2,,10487891,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10487891
,Amay,4540,1,house,apartment block,275000,isUnderOption,3,150,1,,,,297,4,,10384681,to be done up,https://www.immoweb.be/en/classified/apartment-block/for-sale/amay/4540/10384681
,Wondelgem,9032,1,house,house,288000,,3,120,1,17,,,77,2,,10425975,good,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/10425975
,Hamme,9220,1,house,house,279000,,3,237,,,,,368,2,,10302335,to be done up,https://www.immoweb.be/en/classified/house/for-sale/hamme/9220/10302335
,Geraardsbergen,9500,1,house,house,288000,,3,150,1,16,1,180,285,3,,10603562,as new,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10603562
,Hamme,9220,1,house,mixed use building,279000,,3,237,,,,,368,2,,10397239,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/hamme/9220/10397239
,Arlon,6700,0,house,house,289000,isUnderOption,5,189,,,,,315,3,,10602491,to renovate,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10602491
,Mechelen,2800,1,house,house,295000,,2,100,1,,,,105,2,,10587650,to renovate,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10587650
,Oupeye,4680,1,house,house,285000,,3,96,1,21,1,422,514,3,,10626827,good,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/10626827
,Kapelle-op-den-Bos,1880,1,house,house,295000,,3,232,1,,,,2518,3,,10637643,to renovate,https://www.immoweb.be/en/classified/house/for-sale/kapelle-op-den-bos/1880/10637643
,Grimbergen,1850,1,house,house,285000,isUnderOption,3,161,,,,,105,2,,10316384,good,https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/10316384
,Hoeilaart,1560,1,house,house,295000,,3,112,1,18,1,48,125,2,,10627119,to renovate,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/10627119
,BRAINE-LE-CHÂTEAU,1440,1,house,house,285000,isUnderOption,4,235,1,20,1,352,492,3,,10472884,to be done up,https://www.immoweb.be/en/classified/house/for-sale/braine-le-ch%C3%82teau/1440/10472884
,Quaregnon,7390,1,house,villa,295000,,2,137,1,,,,1590,4,,10479945,just renovated,https://www.immoweb.be/en/classified/villa/for-sale/quaregnon/7390/10479945
,EINDHOUT,2430,1,house,house,295000,,3,151,1,,,,288,2,,10576595,to renovate,https://www.immoweb.be/en/classified/house/for-sale/eindhout/2430/10576595
,Etalle,6740,1,house,house,295000,,5,250,,,,,226,3,,10416044,to be done up,https://www.immoweb.be/en/classified/house/for-sale/etalle/6740/10416044
,SINT-GILLIS-BIJ-DENDERMONDE,9200,1,house,house,297000,isUnderOption,4,158,1,,,,170,2,,10606800,good,https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-bij-dendermonde/9200/10606800
,Gent,9051,1,apartment,ground floor,435000,,2,126,1,19,,,,4,,10658422,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/10658422
,Westende,8434,1,apartment,apartment,99000,,1,25,1,,,,,,,10639726,good,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/10639726
,Wevelgem,8560,1,apartment,apartment,100000,,1,35,1,,,,,,,10308171,good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/10308171
,Herstal,4040,1,apartment,apartment,105000,isUnderOption,1,52,1,11,,,,4,,10477941,good,https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/10477941
,Blankenberge,8370,1,apartment,apartment,105000,,1,41,,,,,,,,10501615,as new,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10501615
,De Haan,8420,1,apartment,apartment,125000,,1,26,,,,,,,1,10467125,good,https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/10467125
,Oostende,8400,1,apartment,apartment,145000,,1,40,1,,,,,,,10635125,as new,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10635125
,Liège,4000,1,apartment,apartment,140000,isUnderOption,1,60,1,5,,,,,,10281092,as new,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10281092
,Gosselies,6041,1,apartment,apartment,140000,,3,93,1,,,,,,,10332604,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/gosselies/6041/10332604
,ROCOURT,4000,0,apartment,apartment,139000,isUnderOption,2,86,,,,,,3,,10569321,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10569321
,Huy,4500,1,apartment,apartment,109000,,1,54,,,,,,,,10605808,,https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10605808
,Overijse,3090,1,apartment,service flat,110000,,1,25,1,5,,,,2,,10017736,as new,https://www.immoweb.be/en/classified/service-flat/for-sale/overijse/3090/10017736
,Blankenberge,8370,1,apartment,apartment,149000,,2,85,,,,,,,,10551900,as new,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10551900
,Westende,8434,1,apartment,flat studio,125000,,1,35,,,,,,2,,10537234,to renovate,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/10537234
,Oostende,8400,1,apartment,apartment,149000,,1,62,,,,,,,,10602680,good,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10602680
,Grivegnée,4030,1,apartment,apartment,149000,isUnderOption,2,76,1,6,,,,,,9808058,good,https://www.immoweb.be/en/classified/apartment/for-sale/grivegn%C3%A9e/4030/9808058
,Liège,4020,1,apartment,apartment,149000,,1,67,,,,,,,,10589278,good,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4020/10589278
,LIEGE,4000,0,apartment,apartment,149500,,1,94,,,,,,3,,10621783,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10621783
,Huy,4500,1,apartment,apartment,109000,isUnderOption,1,69,,,,,,3,,10505191,good,https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10505191
,Middelkerke,8434,1,apartment,apartment,145000,isUnderOption,1,32,1,2,,,,,,10530045,as new,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8434/10530045
,Westende,8434,1,apartment,apartment,145000,isUnderOption,1,32,1,2,,,,,,10530141,as new,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/10530141
,Bredene,8450,1,apartment,apartment,155000,,2,51,,,,,,,,10620508,good,https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/10620508
,Blankenberge,8370,1,apartment,apartment,159000,,1,51,,,,,,,,10586031,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10586031
,Liège,4000,1,apartment,apartment,159000,isUnderOption,1,65,,,,,,,,10464262,good,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10464262
,Lobbes,6540,1,apartment,apartment,160000,,2,87,,,,,,,,10607864,good,https://www.immoweb.be/en/classified/apartment/for-sale/lobbes/6540/10607864
,Ieper,8900,1,apartment,apartment,160000,,2,84,1,,,,,,,10546194,good,https://www.immoweb.be/en/classified/apartment/for-sale/ieper/8900/10546194
,Oostende,8400,1,apartment,apartment,159000,,2,66,1,,,,,,,10392483,as new,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10392483
,Antwerp,2060,1,apartment,flat studio,165000,,1,30,1,6,,,,2,,10577751,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2060/10577751
,Oostende,8400,1,apartment,apartment,159000,,2,78,1,,,,,,,10630925,good,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10630925
,FOREST,1190,0,house,town house,300000,,2,110,,,,,88,3,,10490026,,https://www.immoweb.be/en/classified/town-house/for-sale/forest/1190/10490026
,Bouffioulx,6200,1,house,house,305000,,4,147,1,20,1,900,1000,4,,10613762,just renovated,https://www.immoweb.be/en/classified/house/for-sale/bouffioulx/6200/10613762
,Leopoldsburg,3970,1,apartment,duplex,165000,isUnderOption,3,123,1,35,,,,,,10391740,good,https://www.immoweb.be/en/classified/duplex/for-sale/leopoldsburg/3970/10391740
,REDU,6890,1,house,house,311000,isUnderOption,3,101,1,,,,790,4,,10477668,good,https://www.immoweb.be/en/classified/house/for-sale/redu/6890/10477668
,Thy-le-Château,5651,1,house,villa,314900,,3,100,,,1,586,697,4,,10592543,as new,https://www.immoweb.be/en/classified/villa/for-sale/thy-le-ch%C3%A2teau/5651/10592543
,Wetteren,9230,,house,house,299000,,3,289,,,,,108,4,,10504698,good,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/10504698
,Gooik,1755,0,house,house,299000,,3,160,1,,,,905,3,,10549564,to renovate,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10549564
,Hoboken,2660,,house,house,319000,,4,244,,,1,45,165,2,,10639913,good,https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/10639913
,Herstal,4040,1,house,house,299000,,2,161,,,,,1563,4,,10584514,to be done up,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10584514
,Erpe-Mere,9420,1,house,house,315000,,3,,1,,,,568,3,,10625197,to be done up,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10625197
,COUTISSE,5300,1,house,country cottage,325000,,4,160,1,,,,850,4,,10499933,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/coutisse/5300/10499933
,COUTISSE,5300,1,house,house,325000,,4,160,1,,,,850,4,,10499929,good,https://www.immoweb.be/en/classified/house/for-sale/coutisse/5300/10499929
,Bouillon,6830,1,house,house,329000,isUnderOption,3,118,1,15,1,770,770,4,,10567485,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bouillon/6830/10567485
,Athus,6791,1,house,mixed use building,320000,isUnderOption,5,174,,,,,175,2,,9750615,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/athus/6791/9750615
,Thy-le-Château,5651,1,house,house,314900,,3,100,,,1,586,697,4,,10623720,as new,https://www.immoweb.be/en/classified/house/for-sale/thy-le-ch%C3%A2teau/5651/10623720
,Willebroek,2830,1,house,house,329000,isUnderOption,2,195,1,,1,160,245,2,,10490791,to be done up,https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/10490791
,Neufmaison,7332,1,house,country cottage,330000,,3,288,1,,,,2950,3,,10399371,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/neufmaison/7332/10399371
,WAHA,6900,1,house,house,329900,,3,113,,,,,700,4,,10606263,good,https://www.immoweb.be/en/classified/house/for-sale/waha/6900/10606263
,NAMÈCHE,5300,1,house,house,339000,,4,180,1,,,,1471,4,,10539183,to be done up,https://www.immoweb.be/en/classified/house/for-sale/nam%C3%88che/5300/10539183
,Menen,8930,1,house,mansion,335000,,6,200,1,,,,292,4,,10607471,good,https://www.immoweb.be/en/classified/mansion/for-sale/menen/8930/10607471
,Waterloo,1410,1,house,house,348000,,3,203,1,,,,279,3,,10331656,good,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10331656
